iter	Passed	Remaining
576	18733	13733
577	18766	13701
578	18794	13665
579	18825	13632
580	18848	13593
581	18884	13562
582	18916	13530
583	18949	13498
584	18977	13462
585	19008	13429
586	19037	13394
587	19067	13360
588	19094	13324
589	19126	13291
590	19156	13257
591	19187	13223
592	19210	13185
593	19242	13152
594	19269	13116
595	19304	13085
596	19338	13053
597	19367	13019
598	19395	12984
599	19427	12951
600	19460	12919
601	19491	12886
602	19521	12852
603	19554	12820
604	19585	12787
605	19609	12749
606	19638	12715
607	19667	12680
608	19710	12654
609	19743	12623
610	19772	12588
611	19803	12555
612	19834	12521
613	19867	12489
614	19896	12455
615	19929	12423
616	19964	12393
617	19996	12360
618	20025	12325
619	20058	12293
620	20092	12262
621	20120	12227
622	20147	12192
623	20178	12158
624	20206	12123
625	20237	12090
626	20269	12058
627	20302	12026
628	20332	11992
629	20364	11960
630	20395	11926
631	20424	11892
632	20453	11858
633	20481	11823
634	20513	11791
635	20541	11756
636	20573	11724
637	20603	11690
638	20634	11657
639	20663	11623
640	20730	11610
641	20767	11580
642	20798	11547
643	20826	11512
644	20858	11480
645	20889	11446
646	20924	11416
647	20952	11381
648	20982	11348
649	21015	11315
650	21051	11285
651	21080	11251
652	21114	11220
653	21143	11185
654	21173	11152
655	21202	11118
656	21226	11081
657	21251	11045
658	21283	11013
659	21314	10980
660	21343	10946
661	21370	10911
662	21400	10878
663	21434	10846
664	21464	10812
665	21496	10780
666	21527	10747
667	21561	10716
668	21602	10688
669	21638	10657
670	21670	10625
671	21697	10590
672	21730	10558
673	21761	10525
674	21793	10493
675	21824	10460
676	21854	10427
677	21885	10394
678	21914	10360
679	21948	10328
680	21979	10295
681	22008	10261
682	22038	10228
683	22075	10198
684	22108	10166
685	22140	10134
686	22172	10101
687	22201	10068
688	22231	10034
689	22266	10003
690	22300	9972
691	22331	9939
692	22361	9906
693	22391	9872
694	22420	9839
695	22450	9806
696	22483	9773
697	22520	9743
698	22548	9709
699	22586	9679
700	22622	9649
701	22646	9613
702	22679	9581
703	22717	9551
704	22753	9520
705	22800	9494
706	22832	9462
707	22872	9433
708	22907	9402
709	22938	9369
710	22973	9337
711	23006	9306
712	23033	9271
713	23065	9238
714	23100	9207
715	23129	9174
716	23163	9142
717	23198	9111
718	23232	9079
719	23265	9047
720	23295	9014
721	23325	8981
722	23356	8948
723	23392	8917
724	23420	8883
725	23454	8851
726	23486	8819
727	23520	8788
728	23553	8755
729	23582	8722
730	23612	8689
731	23641	8655
732	23679	8625
733	23710	8592
734	23743	8560
735	23777	8528
736	23809	8496
737	23840	8463
738	23876	8432
739	23905	8399
740	23937	8366
741	23969	8334
742	24000	8301
743	24065	8280
744	24095	8247
745	24126	8214
746	24161	8183
747	24190	8149
748	24221	8117
749	24256	8085
750	24296	8055
751	24333	8024
752	24361	7991
753	24389	7957
754	24419	7924
755	24452	7892
756	24482	7858
757	24515	7826
758	24547	7794
759	24579	7761
760	24610	7729
761	24641	7696
762	24673	7664
763	24704	7631
764	24733	7597
765	24765	7565
766	24797	7533
767	24831	7501
768	24862	7468
769	24893	7435
770	24929	7404
771	24957	7370
772	24993	7339
773	25024	7307
774	25058	7275
775	25088	7242
776	25119	7209
777	25147	7175
778	25183	7144
779	25216	7112
780	25247	7079
781	25278	7046
782	25315	7015
783	25341	6981
784	25373	6949
785	25406	6917
786	25438	6884
787	25468	6852
788	25501	6819
789	25529	6786
790	25563	6754
791	25598	6722
792	25635	6691
793	25668	6659
794	25701	6627
795	25735	6595
796	25767	6563
797	25797	6530
798	25831	6498
